EBOOK	TITLE	AUTHOR	MISC
10	The Bible, Both Testaments, King James Version
11	Alice's Adventures in Wonderland	by Lewis Carroll
12	Through the Looking-Glass	by Lewis Carroll
15	Moby Dick	by Herman Melville
16	Peter Pan	by James M. Barrie
17	The Book Of Mormon	by Anonymous	[Subtitle: An Account Written By The Hand Of Mormon Upon Plates Taken From The Plates Of Nephi]
18	Federalist Papers	by Alexander Hamilton, John Jay, and James Madison
19	The Song Of Hiawatha	by Henry W. Longfellow
20	Paradise Lost	by John Milton
21	Aesop's Fables	by Aesop
22	Roget's Thesaurus by Peter Mark Roget
23	Olla Podrida	by Frederick Marryat (a.k.a. Captain Marryat)
23	The Narrative of the Life of Frederick Douglass	by Frederick Douglass	[Subtitle: An American Slave]
24	O Pioneers!	by Willa Cather
24	Woodcraft	by George W. Sears [a.k.a.: Nessmuk]
25	A Tall Ship	by Sir Lewis Anselm da Costa Ritchie [a.k.a.: Bartimeus]	[Subtitle: On Other Naval Occasions]
25	The Mystery of a Turkish Bath	by E.M. Gollan (a.k.a. Rita)
25	The Penal Cluster	by Ivar Jorgensen (a.k.a. Randall Garrett)
26	Paradise Lost	by John Milton
27	Change in the Village	by George Sturt (a.k.a. George Bourne)
27	Far from the Madding Crowd	by Thomas Hardy
28	Aesop's Fables	by Aesop	[Note: An improved edition of this title may be viewed at ebook #18732]
28	The Countess of Albany	by Violet Paget (a.k.a. Vernon Lee)
30	The Bible, King James Version, Complete	by Various	[Note: An improved edition of this title may be viewed at ebook #10900]
31	The Oedipus Trilogy	by Sophocles
32	Herland	by Charlotte Perkins Stetson Gilman
33	The Scarlet Letter	by Nathaniel Hawthorne	[Note: An improved edition of this title may be viewed at ebook #25344]
34	Zen and the Art of the Internet	by Brendan P. Kehoe
35	The Time Machine	by H. G. Wells
36	The War of the Worlds	by H. G. Wells
38	The Jargon File, Version 2.9.10, July 1, 1992	by Various
39	Hitchhiker's Guide to the Internet	by Ed Krol
40	Northwestnet NUSIRG Internet Guide	by Jonathan Kochmer
41	The Legend of Sleepy Hollow	by Washington Irving
43	The Strange Case Of Dr. Jekyll And Mr. Hyde	by Robert Louis Stevenson
44	Song of the Lark	by Willa Cather
45	Anne Of Green Gables	by Lucy Maud Montgomery
46	A Christmas Carol, A Ghost Story of Christmas	by Charles Dickens	[Illustrations by John Leech from an 1843 First Edition]
47	Anne Of Avonlea	by Lucy Maud Montgomery
49	Surfing the Internet	by Jean Armour Polly
50	Pi	by Scott Hemphill
51	Anne Of The Island	by Lucy Maud Montgomery
52	The Square Root of 2	by Stan Kerr
53	LOC Workshop on Electronic Texts	by The Library of Congress
54	The Marvellous Land of Oz	by L. Frank Baum
55	The Wonderful Wizard of Oz	by L. Frank Baum
56	NREN For All: Insurmountable Opportunity	by Jean Armour Polly
57	Aladdin and the Magic Lamp	by Unknown
58	Paradise Regained	by John Milton
59	A Discourse on Method	by René Descartes
60	The Scarlet Pimpernel	by Baroness Orczy
61	The Communist Manifesto	by Karl Marx and Friedrich Engels
62	A Princess of Mars	by Edgar Rice Burroughs
63	The Number e	by Unknown	[Subtitle: Natural log]
64	The Gods of Mars	by Edgar Rice Burroughs
66	The Dawn of Amateur Radio in the U.K. and Greece	by Norman F. Joly	[Subtitle: A Personal View]
67	The Black Experience in America	by Norman Coombs	[Subtitle: The Immigrant Heritage of America]
68	Warlord of Mars	by Edgar Rice Burroughs
69	The 32nd Mersenne Prime	by David Slowinski
70	What Is Man?	by Mark Twain
71	On the Duty of Civil Disobedience	by Henry David Thoreau
72	Thuvia, Maid of Mars	by Edgar Rice Burroughs
73	The Red Badge of Courage	by Stephen Carne	[Subtitle: An Episode of the American Civil War]
74	The Adventures of Tom Sawyer, Complete	by Mark Twain
75	Email 101	by John E. Goodwin
76	Adventures of Huckleberry Finn	by Mark Twain
77	The House of the Seven Gables	by Nathaniel Hawthorne
78	Tarzan of the Apes	by Edgar Rice Burroughs
79	Terminal Compromise	by Winn Schwartau
