Tweet,Avg,Sentiment
iphone 5c is ugly as heck what the freak @appl,-2.0,Negative
freak YOU @APPLE,-2.0,Negative
freak you @apple,-2.0,Negative
@APPLE YOU RUINED MY LIFE,-2.0,Negative
@apple I hate apple!!!!!,-2.0,Negative
# Dyslexic iPhone 6 Users rejoice! Thanks to @apple and 'voice text' hard to spell words are a thing of the past! ,2.0,Positive
#18 #million iPHONE USERS HAVE NEVER BONKED to @Apple [#Apple]Pay. (#Monday 8 #December) ,-2.0,Negative
#AAPL #iOS8 RT @BenedictEvans Browser share ,0.0,Neutral
#AAPL #iPadAir2 RT @waltmossberg Apple Unveils New iPad Air 2 Ads via @KurtWagner8 ,0.0,Neutral
#AAPL $BABA &amp; $TWTR are having their 9 &amp; 1/2 % day they fooling around -- NOT on their magic carpet. next week/s,0.0,Neutral
#AAPL 115.93. Dec1 #MiniFlash #Crash 6.4% in one crazy minute w/ 6.7M shares. $MS downgrade to Market Weight &amp; trim its stock from 4% to 3%,0.0,Neutral
#AAPL I think it will be valued at 140-145s at next year.Death of Steve Jobs damaged #Samsung more than Apple ,0.0,Neutral
#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... ,0.0,Neutral
#AAPL Lawsuit: #Apple Deleted Songs From iPods Without Telling Users: According to The Guardian Apple deleted... ,-2.0,Negative
#AAPL MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes ,0.0,Neutral
#AAPL Market Cap Passes $700 Billion Tablet Sales Slump and More ,0.0,Neutral
#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion ,2.0,Positive
#AAPL RT @FortuneMagazine Alex Gauna flips his Apple bit sets Street-high target of $150 ,0.0,Neutral
#AAPL RT @TechCrunch Apple Stores Will Host Free Coding Workshops For Second Annual 'Hour of Code' by @drizzled,0.0,Neutral
#AAPL RT @cue: Proud to be part of #HourofCode next week. Events at Apple retail stores around the world. ,2.0,Positive
#AAPL Shorting Apple @ 116 $. Love the company love their products everybody admires Apple but the capitalization is way too wild.,2.0,Positive
